,optimizer,initializer,regularization,activation_function,best_valid_acc,last_valid_acc,last_train_acc,model,dropout
116,adamW,RandomNormal,,sigmoid,0.8958333134651184,0.8943333625793457,0.895814836025238,vanilla_NN,0.5
117,adamW,RandomNormal,l1,relu,0.8995000123977661,0.8953333497047424,0.9545740485191345,vanilla_NN,0
118,adamW,RandomNormal,l1,relu,0.9023333191871643,0.8911666870117188,0.9085184931755066,vanilla_NN,0.3
119,adamW,RandomNormal,l1,relu,0.890500009059906,0.890500009059906,0.8821481466293335,vanilla_NN,0.5
120,adamW,RandomNormal,l1,tanh,0.8981666564941406,0.8895000219345093,0.9307407140731812,vanilla_NN,0
121,adamW,RandomNormal,l1,tanh,0.89083331823349,0.8866666555404663,0.8897592425346375,vanilla_NN,0.3
122,adamW,RandomNormal,l1,tanh,0.8809999823570251,0.8763333559036255,0.8654444217681885,vanilla_NN,0.5
123,adamW,RandomNormal,l1,sigmoid,0.8998333215713501,0.8973333239555359,0.9624074101448059,vanilla_NN,0
124,adamW,RandomNormal,l1,sigmoid,0.9006666541099548,0.8991666436195374,0.9188148379325867,vanilla_NN,0.3
125,adamW,RandomNormal,l1,sigmoid,0.8963333368301392,0.893833339214325,0.8962963223457336,vanilla_NN,0.5
126,adamW,RandomNormal,l2,relu,0.8998333215713501,0.8943333625793457,0.9555925726890564,vanilla_NN,0
127,adamW,RandomNormal,l2,relu,0.8983333110809326,0.8983333110809326,0.9092037081718445,vanilla_NN,0.3
128,adamW,RandomNormal,l2,relu,0.8889999985694885,0.8809999823570251,0.8815925717353821,vanilla_NN,0.5
129,adamW,RandomNormal,l2,tanh,0.8926666378974915,0.8886666893959045,0.9317963123321533,vanilla_NN,0
130,adamW,RandomNormal,l2,tanh,0.8888333439826965,0.8815000057220459,0.8902778029441833,vanilla_NN,0.3
131,adamW,RandomNormal,l2,tanh,0.8790000081062317,0.875333309173584,0.869259238243103,vanilla_NN,0.5
132,adamW,RandomNormal,l2,sigmoid,0.8995000123977661,0.89083331823349,0.9624074101448059,vanilla_NN,0
133,adamW,RandomNormal,l2,sigmoid,0.9014999866485596,0.9013333320617676,0.9198518395423889,vanilla_NN,0.3
134,adamW,RandomNormal,l2,sigmoid,0.8960000276565552,0.8960000276565552,0.8960740566253662,vanilla_NN,0.5
135,adamW,GlorotNormal,,relu,0.8970000147819519,0.8899999856948853,0.9541110992431641,vanilla_NN,0
136,adamW,GlorotNormal,,relu,0.8981666564941406,0.8964999914169312,0.9089259505271912,vanilla_NN,0.3
137,adamW,GlorotNormal,,relu,0.890999972820282,0.890500009059906,0.8785555362701416,vanilla_NN,0.5
138,adamW,GlorotNormal,,tanh,0.8943333625793457,0.8930000066757202,0.9301296472549438,vanilla_NN,0
139,adamW,GlorotNormal,,tanh,0.8893333077430725,0.8870000243186951,0.8907222151756287,vanilla_NN,0.3
140,adamW,GlorotNormal,,tanh,0.8793333172798157,0.878000020980835,0.8656851649284363,vanilla_NN,0.5
141,adamW,GlorotNormal,,sigmoid,0.8981666564941406,0.8881666660308838,0.9634444713592529,vanilla_NN,0
142,adamW,GlorotNormal,,sigmoid,0.9026666879653931,0.8980000019073486,0.9206481575965881,vanilla_NN,0.3
143,adamW,GlorotNormal,,sigmoid,0.8964999914169312,0.8963333368301392,0.896574079990387,vanilla_NN,0.5
144,adamW,GlorotNormal,l1,relu,0.8988333344459534,0.8931666612625122,0.9548518657684326,vanilla_NN,0
145,adamW,GlorotNormal,l1,relu,0.9010000228881836,0.9001666903495789,0.9089999794960022,vanilla_NN,0.3
146,adamW,GlorotNormal,l1,relu,0.8881666660308838,0.8818333148956299,0.8784258961677551,vanilla_NN,0.5
147,adamW,GlorotNormal,l1,tanh,0.8914999961853027,0.8868333101272583,0.929611086845398,vanilla_NN,0
148,adamW,GlorotNormal,l1,tanh,0.8884999752044678,0.8863333463668823,0.8909814953804016,vanilla_NN,0.3
149,adamW,GlorotNormal,l1,tanh,0.8791666626930237,0.8776666522026062,0.8667963147163391,vanilla_NN,0.5
150,adamW,GlorotNormal,l1,sigmoid,0.8988333344459534,0.8958333134651184,0.9626111388206482,vanilla_NN,0
151,adamW,GlorotNormal,l1,sigmoid,0.9010000228881836,0.9010000228881836,0.9200740456581116,vanilla_NN,0.3
152,adamW,GlorotNormal,l1,sigmoid,0.8983333110809326,0.893666684627533,0.8954073786735535,vanilla_NN,0.5
153,adamW,GlorotNormal,l2,relu,0.9004999995231628,0.8951666951179504,0.9532592296600342,vanilla_NN,0
154,adamW,GlorotNormal,l2,relu,0.8976666927337646,0.893833339214325,0.9087592363357544,vanilla_NN,0.3
155,adamW,GlorotNormal,l2,relu,0.8895000219345093,0.8838333487510681,0.8812592625617981,vanilla_NN,0.5
